Nr_sample,date,year,month,Q ,T_C          ,pH                       ,Cl_ppm,SO4_ppm,HCO3_ppm,Ca_ppm,Mg_ppm,TDS_ppm,BOD_ppm,NH4-N_ppm,NO2-N_ppb,NO3-N_ppm,PO4_P,Fe_total_ppm,Cu_ppb,Zn_ppm,Ni_ppb,Cr_ppb,Pb_ppb,Cd_ppb,As_ppb,TPH_ppm,F_ppm
1,17-01-04,2004,1,232,7.3,7.6,21.3,125,207,64.1,24.3,481,1.2,0,0,0.45,0.178,0,2.6,2.2,0,0.7,0,0,0,0.01,0.41
2,16-02-04,2004,2,256,10,7.6,17,106,165,56.1,20.7,406,1.8,0,0,1.73,0.017,0,3.4,7.3,0,1.3,0,0,0,0.02,0.46
3,11-03-04,2004,3,202,9.6,7.6,9.9,54,162,42.1,18.2,329,0.6,0,0.423,1.23,0,0,3.5,11.1,0,1.2,0,0.55,0,0.02,0.1
4,05-04-04,2004,4,367,15,7.6,9.1,73,177,48.1,12.2,344,1.1,0,0.001,0.56,0,0,5,5.6,0,0,0,0,0,0.05,0.21
5,11-05-04,2004,5,107,19,7.6,15.6,83,154,56.1,15.8,359,0.2,0,0.366,0.94,0.001,0,1.7,4.2,0,0,1,0,0,0.01,0.45
6,06-06-04,2004,6,90,23,7.6,16.2,85.4,189,42.1,19.5,385,0.51,0.01,0.001,0.59,0.001,0,4.4,6.9,0,1.8,0.4,0.35,0,0.02,0.37
7,15-07-04,2004,7,32.9,24,7.6,33.5,211,201,76.2,32.8,593,1.4,0.01,0.024,0.22,0.001,0,0.5,2.7,0,0.4,0,0,0,0.02,0.44
8,04-08-04,2004,8,26.2,26,7.6,33.5,211,204,80.2,35.2,597,1.7,0,0.001,0.18,0.001,0,0.7,3.1,0,4.4,0,0,0,0.02,0.54
9,13-09-04,2004,9,50,13.8,7.6,26.9,183,243,86.2,32.8,610,3.77,0.1,0.014,0.04,0.012,0,4.6,5.3,0,0.8,0,0.16,0,0.01,0.24
10,04-10-04,2004,10,47.1,18.8,7.6,26.4,163,241,80.2,32.8,600,2.3,0,0.346,1.96,0.011,0,5.6,3.3,0,1.6,0,0,0,0.01,0.24
11,08-11-04,2004,11,46.8,13,7.6,29.2,126,249,82.2,30.4,581,1.2,0.01,0.003,5.1,0.009,0,0.6,2.3,     -      ,0,0,0.05,0,0.01,0.3
12,08-12-04,2004,12,106,8,7.6,28.4,124,285,90.2,34,613,1.24,0.01,0.002,2.49,0.008,0,0.5,2.6,     -      ,1.4,0,0,1,0.02,0.18
13,29-01-05,2005,1,113,4.4,7.6,12.3,121,182,62.1,23.1,435,4,0,0.037,1.43,0.023,0,0.9,5.4,0,0.5,0.6,0.11,1,0.04,0.45
14,04-02-05,2005,2,155,4.6,7.6,19.8,123,189,64.1,23.1,454,2.5,0,0.07,1.8,0.024,0.01,1.1,6.1,0,0.2,0.5,0.17,3,0.04,0.43
15,11-03-05,2005,3,291,11,7.6,9.6,99,156,50.1,14.6,360,3.8,0,0.005,1.04,0.003,0.01,4.1,2.8,0,2.2,0,0.75,3,0.04,0.21
16,01-04-05,2005,4,311,13,7.6,10.2,99.3,157,50.1,14.6,357,2.3,0.02,0.009,1.48,0.003,0.01,0,3.4,0,3.6,0,0.52,0,0.09,0.44
17,10-05-05,2005,5,240,15,7.8,9.9,66.5,132,48.1,12.2,339,2.34,0.06,0.022,10.01,0.001,0.01,3.7,5.2,0,4.6,1.8,0,0,0.09,0.27
18,11-06-05,2005,6,250,17,7.9,10.5,63.5,137,48.1,10.9,321,1.59,0.03,0.029,5.62,0.002,0,3.2,6.3,0,2.7,0.7,0,0,0.02,0.25
19,09-08-05,2005,8,39,26.4,7.9,27.8,204,235,80.2,35.2,653,1.84,0,0.001,3.62,0.004,0,2,2.3,0,0.7,0,0,0,0.03,0.36
20,09-09-05,2005,9,33,19.2,7.6,26.9,233,235,82.2,32.8,676,1.52,0.04,0.113,2.63,0.022,0,1.2,3.2,0,3.3,0,0,2,0.01,0.33
21,12-01-05,2005,1,21,15.2,7.6,26.8,232,233,82.2,31.6,672,1.64,0.03,0.043,2.44,0.003,0.01,1.1,2.9,0,2.3,0,0,1,0.01,0.34
22,15-01-05,2005,1,12,15,7.6,25.5,194,227,76.2,25.5,631,1.93,0.17,0.147,1.87,0.046,0,0.6,5.3,0,2.9,0.1,0.34,0,0.04,0.35
23,10-11-05,2005,11,16,12.4,7.7,18.4,139,189,64.1,23.1,498,1.92,0.09,0.117,5.87,0.029,0.01,0.9,2,0,2.8,0,0,10,0.01,0.4
24,13-12-05,2005,12,11,4.9,7.6,22.1,144,192,68.1,24.3,506,0.96,0.04,0.046,3.48,0.003,0.01,1.1,2.1,0,0.6,0,0,2,0.03,0.33
25,28-01-06,2006,1,28,2.8,7.9,13,72,172,48.1,14.6,362,1.74,0.02,0.024,2.56,0.005,0.02,0.7,6.5,0,2.3,0,0.1,0,0.04,0.31
26,09-02-06,2006,2,25,6,7.7,14.5,114,172,52.1,17,420,1.26,0,0.181,1.88,0.01,0,1,1,0,1.7,0.6,0.05,0,0.02,0.4
27,23-03-06,2006,3,11,11.5,7.5,11.3,85,159,48.1,18.2,347,1.18,0,0.01,0.98,0.001,0,1.3,2.5,0,0.5,0.4,0.13,0,0.02,0.45
28,28-04-06,2006,4,     -      ,22.4,7.3,21.3,195,206,74.2,24.3,580,1.5,0,0.008,0.41,0.048,0.01,5,4.1,0,0.5,1.6,0.43,0,0.02,0.2
29,28-05-06,2006,5,     -      ,15.5,7.5,27.8,198,223,80.2,31.6,611,1.43,0,0.003,0.06,0.007,0,2.5,2.6,0,0.9,0,0.36,0,0,0.45
30,28-06-06,2006,6,     -      ,17.6,8.1,29.2,214,223,74.9,33.6,637,2.14,0,0.023,0.1,0.023,0,1.2,1.8,0,1.1,0,0.25,0,0.02,0.35
31,27-07-06,2006,7,     -      ,26.7,7.6,36.9,248,235,74.2,36.5,718,1.75,0.05,0.368,1.13,0.002,0,1,1.7,0,3,0,0,0,0.01,0.24
32,12-08-06,2006,8,     -      ,26.2,7.3,38.3,315,270,100,42.7,856,2.15,0,0.211,0.68,0.017,0.01,1.9,1.7,0,1.3,0,0,1,0.02,0.34
33,20-09-06,2006,9,     -      ,21.5,6.8,35.4,314,294,102,41.5,888,1.9,0,0.01,1.45,0,0,2.3,2.5,0,2.1,0,0,0,0,0.42
34,17-10-06,2006,10,     -      ,17.4,7.5,39.9,163,260,86.2,42.5,628,3.67,0,0.079,2.1,0.166,0.01,3.9,5.4,0,3.1,1.1,0.09,0,0,0.44
35,28-11-06,2006,11,     -      ,8.6,7.8,17.6,134,302,52.1,29.2,635,1.16,0,0.015,3.06,0.001,0,1.8,0.8,0,0.9,0,0.37,0,0,0.25
36,20-01-07,2007,1,     -      ,4.8,7.6,18.4,145,204,64.1,20.7,513,1.96,0,0.005,2.16,0.037,0.01,0.5,5.2,0,0.5,0,0,0,0.01,0.25
37,11-02-07,2007,2,     -      ,9.2,7.7,27,161,210,74.2,25.5,558,2.38,0,0.139,2.93,0.03,0,1.5,3.4,0,0.9,0,0,0,0,0.35
38,09-04-07,2007,4,177,19.5,7.1,16.2,115,264,88.2,20.7,531,2.15,0.25,0.118,0.14,0.009,0.02,4.5,7.6,0,0.9,0,0.53,0,0.01,0.21
39,24-05-07,2007,5,272,21,7.8,16.2,96.7,171,60.1,13.4,391,2.35,0.01,0.001,0.67,0.002,0,5.5,5.1,0,0.9,0.8,0.35,0,0.06,0.35
40,24-06-07,2007,6,306,20.4,7.4,7.4,47.2,137,48.1,9.7,261,3.18,0.01,0.004,0.75,0.004,0,5.9,9.7,0,1.6,2.8,0.55,0,0.08,0.18
41,20-08-07,2007,8,25.3,26.4,7.8,35.4,252,220,82.2,41.3,704,1.11,0.06,0.026,2.38,0.027,0,0.2,2.5,0,1,0,0,0,0,0.44
42,03-09-07,2007,9,36,19.6,7.4,34.9,256,229,90.2,40.1,718,1.7,0,0,1.92,0.029,0,2.3,1.7,0,1.3,0.4,0,2,0,0.47
43,15-01-07,2007,1,63,14.2,7.2,32.9,265,227,92.2,31.6,735,3.45,0.02,0.005,2.09,0.054,0.01,1,0.5,0,1.7,0.1,0,0,0.01,0.45
44,19-11-07,2007,11,57,9.8,8.2,29.8,193,235,88.2,28,646,2.5,0.37,0.005,3.68,0.068,0,3.9,2.8,0,2,0,1.61,0,0.08,0.28
45,25-01-08,2008,1,178,1.4,7.4,24.1,145,197,72.1,23.1,513,2.15,0.02,0.001,2.45,0.022,0,0,0,0,2.7,0,0,0,0,0.33
46,20-03-08,2008,3,98,9.2,7.8,24,141,214,78.2,23.1,527,2.33,0.01,0.004,2.08,0.069,0.01,0.9,3.5,0,2.3,0,0,0,0,0.42
47,12-05-08,2008,5,15.9,22,7.5,44.5,394,264,104,60.9,958,3.2,0.07,0.002,0.41,0.037,0,6,6.9,0,0.6,0,0.87,0,0,0.44
48,22-06-08,2008,6,15.9,27.6,6.9,41.1,357,259,102,59.7,892,2.41,0.03,0.191,0.44,0.041,0,4.8,4.3,0,1,1.5,0.3,0,0,0.4
49,25-07-08,2008,7,27.4,26.4,7.6,47.9,377,271,114,52.4,959,3.44,0.17,0.003,1.23,0.035,0,5,4.5,0,1,0,1.06,0,0,0.25
50,10-08-08,2008,8,27.4,26,8.3,88,597,214,128,68.3,1262,3.15,0.15,0.001,1.45,0.005,0,5.7,6.3,0,0.5,1,0.52,0,0.01,0.59
51,10-09-08,2008,9,42,23,8,45.4,403,296,110,59.7,1017,2.98,0.03,0.006,0.1,0.028,0,4.8,6.2,0,0.5,0.5,0,0,0,0.49
52,14-10-08,2008,10,43,17.4,8.3,34.9,286,270,100,39,811,2.44,0.02,0.002,0.5,0.053,0,3,4.7,0,0.4,0,0,0,0.02,0.57
53,18-11-08,2008,11,     -      ,7.8,8.3,32.6,206,244,92.2,30.4,664,3.25,0.22,0.001,0.96,0.051,0,3.2,2.4,0,0.5,0,0,0,0.01,0.31
54,10-01-09,2009,1,80,2.4,7.9,32.6,246,227,90.2,31.6,702,1.27,0.01,0.015,1.17,0.046,0,5.7,1.5,0,1.5,1.6,0.79,0,0,0.37
55,10-02-09,2009,2,80,5.3,7.7,32,293,241,94.2,26.7,799,2.54,0,0.002,1.91,0.053,0,4.7,3,0,1.6,0,0.47,0,0,0.42
56,10-03-09,2009,3,81,8.9,7.4,34,233,218,88.2,31.6,678,2.54,0,0.015,2.05,0.001,0.01,7,2,0,2.9,0,0.28,0,0,0.41
57,30-04-09,2009,4,113,14.4,8.1,15.6,98.8,197,66.1,17,430,1.05,0.01,0.086,1.62,0.014,0,2.3,1.8,0,4.2,3.9,0.79,0,0.02,0.14
58,01-05-09,2009,5,306,16.2,7.9,14.2,97.3,189,62.1,17,412,1.89,0,0.077,1.01,0.015,0.01,1,4.1,0,2.9,1.6,0.69,0,0.02,0.29
59,17-06-09,2009,6,140,25,7.5,30.9,299,262,76.2,48.6,810,1.54,0.01,0.193,0.68,0.008,0,4.4,6.5,0,1.6,0,2.01,0,0,0.68
60,05-07-09,2009,7,250,23.2,7.2,7.9,59.2,182,50.1,13.4,335,1.96,0.01,0.002,0.15,0.002,0,5.7,1.3,0,1.3,0,0.78,0,0,0.38
61,17-08-09,2009,8,25,22.4,7.3,4.3,41.8,182,52.1,9.7,307,2.15,0.18,0.005,0.32,0.007,0,4.7,7.6,0,0.6,0,0.79,0,0,0.31
62,09-09-09,2009,9,40,19.8,7.7,28.1,267,250,88.2,34,755,1.63,0.01,0.087,1.08,0.01,0,6.3,4.3,0,1.3,0,1.16,0,0,0.64
63,29-10-09,2009,10,56,20,8.3,32,189,247,80.2,26.7,647,3.25,0.42,0.009,0.96,0.087,0.01,2.8,1,0,3.4,1.7,0.9,0,0,0.77
64,15-12-09,2009,12,57,6,7.8,10.8,79.2,217,58.1,19.5,416,1.93,0.11,0.012,0.94,0.001,0.01,2.1,5.5,0,6.6,3.7,0.47,0,0,0.76
65,23-01-10,2010,1,251,7,7.8,8.8,60.7,178,57.1,10.3,334,1.28,0,0.001,0.12,0.01,0.02,2.6,1.9,0,3.6,0,0,0,0,0.58
66,08-02-10,2010,2,272,6,7.2,15.6,96.2,195,68.1,18.3,414,0.8,0.01,0,0.34,0.016,0,3.1,1.2,0,4.1,0,0,0,0,0.43
67,20-03-10,2010,3,188,10,7.4,10.5,67.3,188,63.1,14,361,0.97,0.01,0,0.84,0.017,0,3.4,1.6,0,4.6,0,0.19,0,0,0.56
68,05-04-10,2010,4,106,15,7.6,9.9,60.8,184,55.3,16.3,352,2.71,0.01,0.009,2.16,0.017,0.03,0.3,3.5,0,3.4,0,0,0,0,0.83
69,10-05-10,2010,5,264,21.6,7.5,21.3,143,165,64.1,24.3,453,1.83,0.01,0.015,1.09,0.006,0.08,3.8,7,0,2.2,0,0,0,0,0.77
70,03-06-10,2010,6,471,23,7.7,8.5,55.5,162,50.1,10.9,306,2.71,0,0.014,0.34,0.009,0.04,1.2,2.5,0,2.3,0,0,0,0.02,0.34
71,01-07-10,2010,7,460,23,7.7,3.7,27,127,40.1,4.9,217,1.09,0.01,0.014,0.81,0.006,0.07,0.6,1,0,4.5,0,0,0,0.01,0.32
72,11-08-10,2010,8,41,27,7.5,33.8,286,268,104,37.8,803,1.89,0,0,0.2,0.011,0.02,1.4,4.7,0,0.6,0,0,0,0,0.76
73,06-09-10,2010,9,40,26,7.8,68.1,496,172,118,57.3,1022,2.15,0,0,0.48,0,0,1.4,6.1,0,0.5,0,0.07,0,0,0.76
74,18-10-10,2010,10,66,19.6,7.3,29.8,177,223,87.4,26,593,1.5,0,0,1.49,0,0,3,6.7,0,1.7,1.5,1.12,0,0,0.56
75,22-11-10,2010,11,68,12,7.9,29.8,207,238,95,34.8,647,3.87,0.12,0.094,1.24,0.041,0.06,1.6,7.3,0,1,0,0,0,0,0.63
76,06-12-10,2010,12,68,11,7.7,16.7,115,215,72.1,19.5,479,1.95,0,0.003,0.64,0,0.07,3.3,4.3,0,0.3,0,0,0,0,0.37
